donor,proportion,passage,harvestday,well,um_pb2
WA09,0.01771,1,9,1,0
WA13,0.02708,1,9,1,0
WA15,0.03486,1,9,1,0
WA17,0.04039,1,9,1,0
WA22,0.02849,1,9,1,0
WA24,0.00484,1,9,1,0
CHB4,0.00465,1,9,1,10
CHB11,0.01248,1,9,1,10
CSES15,0.04451,1,9,1,10
CSES25,0.01038,1,9,1,10
CT2,0.03437,1,9,1,10
CT4,0.03791,1,9,1,10
ESI017,0.01337,1,9,1,10
ESI049,0.15737,1,9,1,10
ESI051,0.02198,1,9,1,10
Genea15,0.0077,1,9,1,10
Genea16,0.00656,1,9,1,10
Genea42,0.00646,1,9,1,10
Genea47,0.00361,1,9,1,10
Genea52,0.00623,1,9,1,10
HS401,0.21037,1,9,1,10
HS420,0.00982,1,9,1,10
HUES42,0.01406,1,9,1,10
HUES44,0.01889,1,9,1,10
HUES45,0.00526,1,9,1,10
HUES49,0.01768,1,9,1,10
HUES63,0.06887,1,9,1,10
HUES64,0.00997,1,9,1,10
HUES75,0.00707,1,9,1,10
Mel2,0.00356,1,9,1,10
RUES1,0.00579,1,9,1,10
UCLA10,0.0109,1,9,1,10
UCLA13,0.01797,1,9,1,10
UCLA2,0.00444,1,9,1,10
UCSF4,0.06036,1,9,1,10
UM14-1,0.00942,1,9,1,10
UM77-2,0.00857,1,9,1,10
WA7,0.00315,1,9,1,10
WA09,0.03816,1,9,1,10
WA13,0.02519,1,9,1,10
WA15,0.01514,1,9,1,10
WA17,0.05277,1,9,1,10
WA22,0.01299,1,9,1,10
WA24,0.00201,1,9,1,10
CHB4,0.00367,1,9,1,3
CHB11,0.01555,1,9,1,3
CSES15,0.04416,1,9,1,3
CSES25,0.00894,1,9,1,3
CT2,0.02842,1,9,1,3
CT4,0.03284,1,9,1,3
ESI017,0.01367,1,9,1,3
ESI049,0.15203,1,9,1,3
ESI051,0.02048,1,9,1,3
Genea15,0.00854,1,9,1,3
Genea16,0.00574,1,9,1,3
Genea42,0.0072,1,9,1,3
Genea47,0.00328,1,9,1,3
Genea52,0.01099,1,9,1,3
HS401,0.21017,1,9,1,3
HS420,0.01329,1,9,1,3
HUES42,0.01634,1,9,1,3
HUES44,0.02191,1,9,1,3
HUES45,0.00594,1,9,1,3
HUES49,0.01578,1,9,1,3
HUES63,0.06909,1,9,1,3
HUES64,0.01246,1,9,1,3
HUES75,0.01168,1,9,1,3
Mel2,0.00259,1,9,1,3
RUES1,0.0055,1,9,1,3
UCLA10,0.01461,1,9,1,3
UCLA13,0.01727,1,9,1,3
UCLA2,0.0036,1,9,1,3
UCSF4,0.05156,1,9,1,3
UM14-1,0.01522,1,9,1,3
UM77-2,0.00562,1,9,1,3
WA7,4.00E-05,1,9,1,3
WA09,0.0318,1,9,1,3
WA13,0.02597,1,9,1,3
WA15,0.01906,1,9,1,3
WA17,0.0541,1,9,1,3
WA22,0.01616,1,9,1,3
WA24,0.00472,1,9,1,3
CHB4,0.00395,1,9,2,0
CHB11,0.01768,1,9,2,0
CSES15,0.04343,1,9,2,0
CSES25,0.00919,1,9,2,0
CT2,0.02554,1,9,2,0
CT4,0.03158,1,9,2,0
ESI017,0.01839,1,9,2,0
ESI049,0.08889,1,9,2,0
ESI051,0.03781,1,9,2,0
Genea15,0.00355,1,9,2,0
Genea16,0.01731,1,9,2,0
Genea42,0.01191,1,9,2,0
Genea47,0.01049,1,9,2,0
Genea52,0.03121,1,9,2,0
HS401,0.1387,1,9,2,0
HS420,0.01732,1,9,2,0
HUES42,0.02517,1,9,2,0
HUES44,0.03461,1,9,2,0
HUES45,0.01221,1,9,2,0
HUES49,0.01994,1,9,2,0
HUES63,0.05132,1,9,2,0
HUES64,0.01882,1,9,2,0
HUES75,0.01879,1,9,2,0
Mel2,0.00361,1,9,2,0
RUES1,0.00567,1,9,2,0
UCLA10,0.02137,1,9,2,0
UCLA13,0.01656,1,9,2,0
UCLA2,0.00528,1,9,2,0
UCSF4,0.03462,1,9,2,0
UM14-1,0.05054,1,9,2,0
UM77-2,0.00623,1,9,2,0
WA7,0.00318,1,9,2,0
WA09,0.01793,1,9,2,0
WA13,0.03191,1,9,2,0
WA15,0.03564,1,9,2,0
WA17,0.04579,1,9,2,0
WA22,0.03042,1,9,2,0
WA24,0.00346,1,9,2,0
CHB4,0.00297,1,9,2,10
CHB11,0.0134,1,9,2,10
CSES15,0.04543,1,9,2,10
CSES25,0.01156,1,9,2,10
CT2,0.02924,1,9,2,10
CT4,0.03676,1,9,2,10
ESI017,0.01478,1,9,2,10
ESI049,0.16226,1,9,2,10
ESI051,0.02428,1,9,2,10
Genea15,0.00392,1,9,2,10
Genea16,0.00474,1,9,2,10
Genea42,0.00663,1,9,2,10
Genea47,0.00181,1,9,2,10
Genea52,0.00852,1,9,2,10
HS401,0.21595,1,9,2,10
HS420,0.01111,1,9,2,10
HUES42,0.01411,1,9,2,10
HUES44,0.01823,1,9,2,10
HUES45,0.00613,1,9,2,10
HUES49,0.01989,1,9,2,10
HUES63,0.0653,1,9,2,10
HUES64,0.01041,1,9,2,10
HUES75,0.00848,1,9,2,10
Mel2,0.00489,1,9,2,10
RUES1,0.00617,1,9,2,10
UCLA10,0.01066,1,9,2,10
UCLA13,0.01623,1,9,2,10
UCLA2,0.00569,1,9,2,10
UCSF4,0.06297,1,9,2,10
